yq,firmID,actual
200901,AAPL,0.19
200901,ABT,0.73
200901,ACAD,0.31
200901,ADBE,0.45
200901,ADI,0.18
200901,ADTN,0.24
200901,AEL,0.65
200901,AEP,0.89
200901,AET,0.96
200901,AFL,1.22
200901,AHC,-0.09
200901,AKAM,0.31
200901,AMAT,-0.02
200901,AMD,-0.66
200901,AMGN,1.08
200901,AMTD,0.23
200901,AMZN,0.41
200901,ANF,1.1
200901,ANSS,0.37
200901,APA,0.65
200901,APC,-0.53
200901,APD,0.89
200901,ARW,0.36
200901,AVP,0.24
200901,AVT,0.3
200901,AXP,0.32
200901,AXS,1.05
200901,AZO,2.03
200901,BA,0.87
200901,BAX,0.83
200901,BBBY,0.55
200901,BCR,1.17
200901,BDX,1.18
200901,BECN,-0.05
200901,BK,0.53
200901,BLL,0.1925
200901,BMS,0.43
200901,BMY,0.48
200901,BSX,0.12
200901,BWLD,0.47
200901,CAT,0.39
200901,CCK,0.28
200901,CCL,0.33
200901,CELG,0.22
200901,CERN,0.13
200901,CHKP,0.45
200901,CHL,0.4
200901,CHRW,0.5
200901,CIEN,-0.09
200901,CL,0.485
200901,CLX,1.08
200901,CME,0.64
200901,CNI,0.255
200901,CNS,1.0
200901,COF,-0.45
200901,CP,0.27
200901,CPB,0.65
200901,CRZO,0.42
200901,CSCO,0.32
200901,CSX,0.2067
200901,CTAS,0.47
200901,CTL,0.82
200901,CTSH,0.19
200901,CTXS,0.32
200901,CYH,0.63
200901,D,0.97
200901,DCI,0.215
200901,DE,0.48
200901,DGX,0.89
200901,DIS,0.43
200901,DISH,0.7
200901,DKS,0.55
200901,DLTR,0.3833
200901,DO,2.51
200901,DOV,0.33
200901,DOX,0.5
200901,DRI,0.8
200901,DRQ,0.63
200901,DUK,0.84
200901,DVN,0.48
200901,ED,0.78
200901,EFX,0.58
200901,EGN,1.33
200901,EL,0.08
200901,EMN,0.125
200901,EMR,0.49
200901,ENDP,0.67
200901,EOG,0.265
200901,EQIX,0.378
200901,EQT,0.55
200901,ESRX,0.43
200901,ETN,-0.11
200901,EW,0.175
200901,EWBC,-0.5
200901,EXPD,0.28
200901,EXPE,0.42
200901,FCX,0.055
200901,FDX,0.31
200901,FFIV,0.38
200901,FII,0.34
200901,FINL,0.36
200901,FISV,0.44
200901,FITB,-0.04
200901,FLEX,0.03
200901,FLIR,0.35
200901,FOSL,0.26
200901,GD,1.54
200901,GE,0.26
200901,GIS,0.395
200901,GLW,0.1
200901,GME,1.34
200901,GOOG,2.58
200901,GPN,0.225
200901,GPS,0.34
200901,GRMN,0.25
200901,GSG,3.39
200901,GWW,1.25
200901,HAL,0.42
200901,HAS,0.14
200901,HBAN,-6.79
200901,HBHC,0.44
200901,HD,0.19
200901,HIBB,0.26
200901,HOLX,0.29
200901,HP,0.97
200901,HR,0.67
200901,HRS,1.02
200901,HSIC,0.32
200901,HSY,0.38
200901,HTLD,0.15
200901,HUBG,0.17
200901,HUM,1.22
200901,HXL,0.24
200901,IART,0.235
200901,IBM,1.7
200901,ICLR,0.35
200901,IIN,1.44
200901,ILMN,0.2
200901,INTC,0.11
200901,INTU,0.34
200901,IP,0.08
200901,IPG,-0.16
200901,IR,-0.04
200901,ISRG,0.24
200901,ITW,0.17
200901,JBHT,0.24
200901,JCP,0.94
200901,JEC,0.88
200901,JNJ,1.26
200901,JNPR,0.17
200901,K,0.84
200901,KBH,-0.75
200901,KEX,0.52
200901,KLAC,-0.34
200901,KMB,0.98
200901,KMT,0.01
200901,KMX,0.17
200901,KO,0.325
200901,KR,0.265
200901,KSS,1.1
200901,KSU,-0.08
200901,LAMR,-0.23
200901,LLL,1.66
200901,LLY,1.2
200901,LM,-2.29
200901,LNC,0.66
200901,LOW,0.11
200901,LPNT,0.74
200901,LRCX,-0.71
200901,LSTR,0.27
200901,MAS,-0.17
200901,MAT,-0.14
200901,MCD,0.83
200901,MCHP,0.11
200901,MCK,1.23
200901,MDT,0.71
200901,MLM,-0.14
200901,MMC,0.4
200901,MMM,0.81
200901,MRK,0.74
200901,MRVL,0.05
200901,MSCC,0.19
200901,MSFT,0.39
200901,MSM,0.42
200901,MTD,0.95
200901,MUR,0.37
200901,MYGN,0.25
200901,NBL,0.295
200901,NDAQ,0.48
200901,NEM,0.44
200901,NFLX,0.0529
200901,NFX,0.85
200901,NLY,0.56
200901,NOC,1.17
200901,NSC,0.47
200901,NTAP,0.28
200901,NTRS,0.61
200901,NUE,-0.6
200901,NVDA,-0.18
200901,NWL,0.2
200901,ODFL,0.0489
200901,OIS,1.13
200901,ORCL,0.35
200901,ORLY,0.47
200901,OXY,0.5
200901,PAYX,0.36
200901,PBCT,0.08
200901,PCAR,0.07
200901,PCG,0.66
200901,PDCO,0.45
200901,PDP,-0.15
200901,PEG,0.95
200901,PENN,0.4
200901,PEP,0.71
200901,PFE,0.54
200901,PG,0.84
200901,PH,0.33
200901,PHM,-2.02
200901,PIR,-0.33
200901,PKG,0.25
200901,PLCE,0.72
200901,PPG,0.095
200901,PPL,0.6
200901,PRU,1.05
200901,PTEN,0.11
200901,PVH,0.3
200901,QCOM,0.41
200901,RBA,0.18
200901,RBC,0.39
200901,RCL,-0.17
200901,RDC,1.14
200901,RIG,3.75
200901,ROK,0.27
200901,ROST,0.19
200901,RRGB,0.47
200901,RTN,1.11
200901,SBAC,-0.15
200901,SBNY,0.07
200901,SBUX,0.08
200901,SEE,0.33
200901,SHW,0.32
200901,SIVB,-0.2
200901,SJM,0.88
200901,SLAB,0.22
200901,SLB,0.78
200901,SLGN,0.1875
200901,SO,0.42
200901,SONC,0.08
200901,SRCL,0.47
200901,STI,-2.49
200901,STLD,-0.48
200901,SVU,6.09
200901,SWK,0.48
200901,SWN,0.36
200901,SYMC,0.38
200901,SYNA,0.38
200901,SYY,0.38
200901,TCBI,0.17
200901,TER,-0.38
200901,TIF,0.85
200901,TMK,0.6622
200901,TMO,0.62
200901,TPX,0.18
200901,TSCO,0.0025
200901,TXRH,0.2
200901,TXT,0.26
200901,ULTI,0.07
200901,UNM,0.62
200901,UNP,0.36
200901,UPS,0.52
200901,URBN,0.24
200901,USG,-0.42
200901,UTHR,0.245
200901,UTX,0.78
200901,VFC,0.2275
200901,VLO,0.59
200901,VMC,-0.29
200901,VRSN,0.32
200901,WAT,0.74
200901,WDC,0.3
200901,WDR,0.18
200901,WERN,0.1
200901,WMT,1.03
200901,WTFC,0.06
200901,WY,-0.2783
200901,WYNN,-0.27
200901,X,-3.84
200901,XEC,0.09
200901,XL,0.63
200901,XLNX,0.2
200901,XRAY,0.43
200901,YUM,0.48
200901,ZION,-7.29
200902,AAPL,0.1929
200902,ABT,0.89
200902,ACAD,0.18
200902,ADBE,0.35
200902,ADI,0.21
200902,ADTN,0.3
200902,AEL,0.32
200902,AEP,0.68
200902,AET,0.68
200902,AFL,1.2
200902,AHC,0.4
200902,AKAM,0.29
200902,AMAT,-0.12
200902,AMD,-0.49
200902,AMGN,1.29
200902,AMTD,0.3
200902,AMZN,0.32
200902,ANF,-0.26
200902,ANSS,0.43
200902,APA,1.41
200902,APC,-0.56
200902,APD,1.05
200902,ARW,0.31
200902,AVP,0.38
200902,AVT,0.32
200902,AXP,0.09
200902,AXS,1.22
200902,AZO,3.13
200902,BA,1.41
200902,BAX,0.96
200902,BBBY,0.34
200902,BCR,1.23
200902,BDX,1.3
200902,BECN,0.38
200902,BK,0.51
200902,BLL,0.3
200902,BMS,0.5
200902,BMY,0.56
200902,BSX,0.13
200902,BWLD,0.39
200902,CAT,0.72
200902,CCK,0.66
200902,CCL,0.33
200902,CELG,0.23
200902,CERN,0.1375
200902,CHKP,0.48
200902,CHL,0.28
200902,CHRW,0.54
200902,CIEN,-0.25
200902,CL,0.535
200902,CLX,1.2
200902,CME,0.674
200902,CNI,0.325
200902,CNS,0.44
200902,COF,-0.65
200902,CP,0.5
200902,CPB,0.48
200902,CRZO,0.41
200902,CSCO,0.3
200902,CSX,0.24
200902,CTAS,0.38
200902,CTL,0.83
200902,CTSH,0.235
200902,CTXS,0.39
200902,CYH,0.66
200902,D,0.68
200902,DCI,0.17
200902,DE,1.11
200902,DGX,1.0
200902,DIS,0.52
200902,DISH,0.14
200902,DKS,0.11
200902,DLTR,0.22
200902,DO,2.79
200902,DOV,0.54
200902,DOX,0.53
200902,DRI,0.9
200902,DRQ,0.68
200902,DUK,0.78
200902,DVN,0.85
200902,ED,0.48
200902,EFX,0.57
200902,EGN,0.76
200902,EL,0.1
200902,EMN,0.43
200902,EMR,0.51
200902,ENDP,0.73
200902,EOG,0.365
200902,EQIX,0.4158
200902,EQT,0.2
200902,ESRX,0.44
200902,ETN,0.115
200902,EW,0.1975
200902,EWBC,-1.83
200902,EXPD,0.25
200902,EXPE,0.76
200902,FCX,0.69
200902,FDX,0.64
